timestamp,time_seconds,status_code,error_reason
1619376622.7722955,0.1395723819732666,200,
1619376623.9131627,0.12375378608703613,200,
1619376625.0382175,0.13718962669372559,200,
1619376626.1766949,0.15517139434814453,200,
1619376627.3331504,0.14739274978637695,200,
1619376628.48182,0.12228274345397949,200,
1619376629.6054032,17.110049724578857,404,[Errno 104] Connection reset by peer
1619376647.7166598,0.16045737266540527,200,
1619376648.8784094,0.19475412368774414,200,
1619376650.0744543,0.32499217987060547,200,
1619376651.4007366,0.12331175804138184,200,
1619376652.5253315,0.12302255630493164,200,
1619376653.649635,0.13848352432250977,200,
1619376654.789409,0.2233586311340332,200,
1619376656.0140543,0.13388919830322266,200,
1619376657.1492398,0.18232154846191406,200,
1619376658.3328493,0.23574399948120117,200,
1619376659.5698884,0.13839149475097656,200,
1619376660.7095845,0.12449288368225098,200,
1619376661.835341,0.20329737663269043,200,
1619376663.03992,0.13248348236083984,200,
1619376664.1736825,0.14349079132080078,200,
1619376665.3184612,0.1828441619873047,200,
